"cityCode","citySidoName","citySggName"
"W01","서울특별시","종로구"
"W02","서울특별시","중구"
"W03","서울특별시","용산구"
"W04","서울특별시","성동구"
"W05","서울특별시","광진구"
"W06","서울특별시","동대문구"
"W07","서울특별시","중랑구"
"W08","서울특별시","성북구"
"W09","서울특별시","강북구"
"W0A","서울특별시","도봉구"
"W0B","서울특별시","노원구"
"W0C","서울특별시","은평구"
"W0D","서울특별시","서대문구"
"W0E","서울특별시","마포구"
"W0F","서울특별시","양천구"
"W0G","서울특별시","강서구"
"W0H","서울특별시","구로구"
"W0I","서울특별시","금천구"
"W0J","서울특별시","영등포구"
"W0K","서울특별시","동작구"
"W0L","서울특별시","관악구"
"W0M","서울특별시","서초구"
"W0N","서울특별시","강남구"
"W0P","서울특별시","강동구"
"W0Q","부산광역시","중구"
"W0R","부산광역시","서구"
"W0S","부산광역시","동구"
"W0T","부산광역시","영도구"
"W0U","부산광역시","부산진구"
"W0V","부산광역시","동래구"
"W0W","부산광역시","남구"
"W0X","부산광역시","북구"
"W0Y","부산광역시","해운대구"
"W0Z","부산광역시","사하구"
"W10","부산광역시","금정구"
"W11","부산광역시","강서구"
"W12","부산광역시","연제구"
"W13","부산광역시","수영구"
"W14","부산광역시","사상구"
"W15","부산광역시","기장군"
"W16","대구광역시","중구"
"W17","대구광역시","동구"
"W18","대구광역시","서구"
"W19","대구광역시","남구"
"W1A","대구광역시","북구"
"W1B","대구광역시","수성구"
"W1C","대구광역시","달서구"
"W1D","대구광역시","달성군"
"W1E","인천광역시","중구"
"W1F","인천광역시","동구"
"W1G","인천광역시","미추홀구"
"W1H","인천광역시","연수구"
"W1I","인천광역시","남동구"
"W1J","인천광역시","부평구"
"W1K","인천광역시","계양구"
"W1L","인천광역시","서구"
"W1M","인천광역시","강화군"
"W1O","광주광역시","동구"
"W1P","광주광역시","서구"
"W1Q","광주광역시","남구"
"W1R","광주광역시","북구"
"W1S","광주광역시","광산구"
"W1T","대전광역시","동구"
"W1U","대전광역시","중구"
"W1V","대전광역시","서구"
"W1W","대전광역시","유성구"
"W1X","대전광역시","대덕구"
"W1Y","울산광역시","중구"
"W1Z","울산광역시","남구"
"W20","울산광역시","동구"
"W21","울산광역시","북구"
"W22","울산광역시","울주군"
"W23","경기도","수원시장안구"
"W24","경기도","수원시권선구"
"W25","경기도","수원시팔달구"
"W26","경기도","수원시영통구"
"W27","경기도","성남시수정구"
"W28","경기도","성남시중원구"
"W29","경기도","성남시분당구"
"W2A","경기도","의정부시"
"W2B","경기도","안양시"
"W2D","경기도","부천시"
"W2G","경기도","광명시"
"W2H","경기도","평택시"
"W2I","경기도","동두천시"
"W2L","경기도","고양시"
"W2P","경기도","과천시"
"W2Q","경기도","구리시"
"W2R","경기도","남양주시"
"W2S","경기도","오산시"
"W2T","경기도","시흥시"
"W2U","경기도","군포시"
"W2V","경기도","의왕시"
"W2W","경기도","하남시"
"W2Y","경기도","용인시"
"W30","경기도","파주시"
"W31","경기도","이천시"
"W33","경기도","김포시"
"W34","경기도","화성시"
"W35","경기도","광주시"
"W36","경기도","양주시"
"W37","경기도","포천시"
"W38","경기도","여주시"
"W3C","강원도","춘천시"
"W3D","강원도","원주시"
"W3E","강원도","강릉시"
"W3F","강원도","동해시"
"W3H","강원도","속초시"
"W3I","강원도","삼척시"
"W3J","강원도","홍천군"
"W3K","강원도","횡성군"
"W3L","강원도","영월군"
"W3N","강원도","정선군"
"W3O","강원도","철원군"
"W3Q","강원도","양구군"
"W3S","강원도","고성군"
"W3U","충청북도","청주시"
"W44","충청북도","음성군"
"W4C","충청남도","서산시"
"W4H","충청남도","부여군"
"W4N","충청남도","당진시"
"W4Q","전라북도","군산시"
"W4R","전라북도","익산시"
"W4S","전라북도","정읍시"
"W4W","전라북도","진안군"
"W4Z","전라북도","임실군"
"W50","전라북도","순창군"
"W51","전라북도","고창군"
"W52","전라북도","부안군"
"W53","전라남도","목포시"
"W54","전라남도","여수시"
"W55","전라남도","순천시"
"W56","전라남도","나주시"
"W57","전라남도","광양시"
"W59","전라남도","곡성군"
"W5G","전라남도","해남군"
"W5I","전라남도","무안군"
"W5J","전라남도","함평군"
"W5M","전라남도","완도군"
"W5P","경상북도","포항시"
"W5S","경상북도","김천시"
"W5T","경상북도","안동시"
"W5U","경상북도","구미시"
"W5V","경상북도","영주시"
"W5W","경상북도","영천시"
"W5X","경상북도","상주시"
"W5Z","경상북도","경산시"
"W64","경상북도","영덕군"
"W69","경상북도","예천군"
"W6B","경상북도","울진군"
"W6C","경상북도","울릉군"
"W6D","경상남도","창원시"
"W6F","경상남도","진주시"
"W6H","경상남도","통영시"
"W6J","경상남도","김해시"
"W6L","경상남도","거제시"
"W6M","경상남도","양산시"
"W6N","경상남도","의령군"
"W6P","경상남도","창녕군"
"W6Q","경상남도","고성군"
"W6S","경상남도","하동군"
"W6X","제주특별자치도","제주시"
"W6Y","제주특별자치도","서귀포시"
"W6Z","서울특별시","송파구"
