"(Intercept)","month_int","age_05","mem1","nBusiness"
"강동구",0.141183119550615,0.102295890579275,0.134118398444191,-0.104615992639764,-0.300529237258342
"강서구",-0.777334997676383,0.051220004150978,-0.0707481867444478,0.134536834204165,0.079314764628907
"관악구",-2.30780430807964,0.325101934137758,-0.0220116791007551,0.275099702424234,-0.208166981706503
"광진구",-0.541017168433815,0.0392604597808361,-0.0453151740532542,0.0910412280041203,0.0459419237621544
"구로구",-0.94579639664049,0.132194190520342,-0.0101518997786712,0.113490575913469,-0.0826436578715311
"금천구",0.513230412576695,-0.120012234216535,-0.0469523428884685,-0.0268985197038752,0.168623953481868
"노원구",0.527004482980332,0.137392968447789,0.234997053822511,-0.214873547162779,-0.495059995929979
"도봉구",1.18266453539053,-0.0332860102044353,0.156148887151349,-0.236763075107869,-0.235127898041263
"동대문구",-0.114214034395819,0.428755243760618,0.447334260130146,-0.28287492682153,-1.06832073578725
"동작구",0.32523981550257,-0.0655042530992201,-0.0182913250407086,-0.0246249554745118,0.0798131138949294
"마포구",0.962234979128796,-0.111434808441549,0.0353832648145829,-0.132028972291188,0.0249650401317202
"서대문구",0.556118212533185,-0.0728789781787248,0.0112392456640755,-0.0702157055853861,0.0361593789548088
"서초구",0.00808871406329546,-0.0656963685842199,-0.0700736536758349,0.045418263262295,0.166244624977738
"성동구",0.109595383054435,0.0555825711962862,0.078220708522192,-0.0640912151641784,-0.172203311955095
"성북구",-0.542955207745942,0.0488799245792757,-0.0351773186525494,0.0845570851765723,0.021804097037066
"송파구",0.539369029906285,-0.121541189786909,-0.0443632515650851,-0.0315613792232779,0.165461145516857
"양천구",0.458636025438084,-0.174561621760435,-0.115106346010422,0.0243272810846083,0.323274590182901
"영등포구",0.709614033199687,-0.127466162546872,-0.0231172053239749,-0.0648291537149457,0.134520509987855
"은평구",-0.793948293314757,-0.0274344850071512,-0.158919704905433,0.194709901152201,0.285475760897958
"종로구",0.288942766371149,0.114279085239239,0.171167920703294,-0.145794168842411,-0.371291248544077
"중구",0.374357591421834,0.0045792644203188,0.0658522742869639,-0.0858044889324642,-0.113180944203771
"중랑구",0.279349510434992,-0.042385807321747,-0.000632106413578575,-0.0311199991579771,0.0329755687021253
